Variable,North,East,South,West
CU1,0.00321,0.00321,0.00321,0.00321
CU2,-8.11E-008,-8.11E-008,-8.11E-008,-8.11E-008
CU3,3.4E-014,3.4E-014,3.4E-014,3.4E-014
CU4,0.11178,0.11178,0.11178,0.11178
CM1,0.752643,0.752643,0.752643,0.752643
CM2,0.00000142,0.00000142,0.00000142,0.00000142
CM3,-0.00000198,-0.00000198,-0.00000198,-0.00000198
CM4,-0.00000074,-0.00000074,-0.00000074,-0.00000074
CM5,0.00000315,0.00000315,0.00000315,0.00000315
CM6,0.0000296,0.0000296,0.0000296,0.0000296
CM7,-0.0000767,-0.0000767,-0.0000767,-0.0000767
CM8,0,0,0,0
CUO1,-0.00000756,-0.00000756,-0.00000756,-0.00000756
CUO2,-1.238545,-1.238545,-1.238545,-1.238545
CUO3,-0.00000413,-0.00000413,-0.00000413,-0.00000413
CUO4,0.0000107,0.0000107,0.0000107,0.0000107
CXUO1,0.00000123,0.00000123,0.00000123,0.00000123
CXUO2,-1.3E-013,-1.3E-013,-1.3E-013,-1.3E-013
CXUO3,0.0000237,0.0000237,0.0000237,0.0000237
CXUO4,0.000000136,0.000000136,0.000000136,0.000000136
CXUO5,-0.0000111,-0.0000111,-0.0000111,-0.0000111
CG1,0.948654,0.948654,0.948654,0.948654
CG2,0.001662,0.001662,0.001662,0.001662
CG3,-4.56E-013,-4.56E-013,-4.56E-013,-4.56E-013
CG4,0.00000592,0.00000592,0.00000592,0.00000592
CG5,-0.00153,-0.00153,-0.00153,-0.00153
CG6,3.16E-012,3.16E-012,3.16E-012,3.16E-012
CG7,0,0,0,0
CG8,0.000000971,0.000000971,0.000000971,0.000000971
CG9,-0.00000197,-0.00000197,-0.00000197,-0.00000197
CS1,29.3089,29.3089,29.3089,29.3089
CS2,0.0000502,0.0000502,0.0000502,0.0000502
CS3,0,0,0,0
CS4,-0.0000277,-0.0000277,-0.0000277,-0.0000277
CS5,2.91E-012,2.91E-012,2.91E-012,2.91E-012
CS6,14.9771,14.9771,14.9771,14.9771
CS7,-7.89E-012,-7.89E-012,-7.89E-012,-7.89E-012
CC1,0.001865,0.001865,0.001865,0.001865
CC2,0,0,0,0
CC3,0.000565,0.000565,0.000565,0.000565
CC4,-5.44E-008,-5.44E-008,-5.44E-008,-5.44E-008
CC5,0.009236,0.009236,0.009236,0.009236
CC6,0,0,0,0
CC7,-0.00000603,-0.00000603,-0.00000603,-0.00000603
CC8,0,0,0,0
CC9,3.89E-014,3.89E-014,3.89E-014,3.89E-014
CC10,0.01704,0.01704,0.01704,0.01704
CC11,-0.244274,-0.244274,-0.244274,-0.244274
CC12,0.007323,0.007323,0.007323,0.007323
CC13,-10.1285,-10.1285,-10.1285,-10.1285
