Variable,North,East,South,West
HU1,0.006672,0.006672,0.006672,0.006672
HU2,-4.36E-013,-4.36E-013,-4.36E-013,-4.36E-013
HM1,0.616936,0.616936,0.616936,0.616936
HM2,0.00015,0.00015,0.00015,0.00015
HM3,-0.000000265,-0.000000265,-0.000000265,-0.000000265
HM4,-0.000000458,-0.000000458,-0.000000458,-0.000000458
HM5,-0.000625,-0.000625,-0.000625,-0.000625
HM6,7.37E-014,7.37E-014,7.37E-014,7.37E-014
HM7,0,0,0,0
HUO1,0.008566,0.008566,0.008566,0.008566
HUO2,0.01146,0.01146,0.01146,0.01146
HUO3,-0.00000899,-0.00000899,-0.00000899,-0.00000899
HXUO1,-0.00000899,-0.00000899,-0.00000899,-0.00000899
HXUO2,3.05E-014,3.05E-014,3.05E-014,3.05E-014
HXUO3,0.000000196,0.000000196,0.000000196,0.000000196
HG1,-0.000948,-0.000948,-0.000948,-0.000948
HG2,-0.000975,-0.000975,-0.000975,-0.000975
HG3,0.0000025,0.0000025,0.0000025,0.0000025
HG4,-0.000000856,-0.000000856,-0.000000856,-0.000000856
HG5,0.0000862,0.0000862,0.0000862,0.0000862
HG6,-0.000000291,-0.000000291,-0.000000291,-0.000000291
HS1,-0.0000202,-0.0000202,-0.0000202,-0.0000202
HS2,2.18E-012,2.18E-012,2.18E-012,2.18E-012
HS3,-0.000024,-0.000024,-0.000024,-0.000024
HS4,0.0000231,0.0000231,0.0000231,0.0000231
HC1,-5.29681,-5.29681,-5.29681,-5.29681
HC2,0.007672,0.007672,0.007672,0.007672
HC3,-0.000000307,-0.000000307,-0.000000307,-0.000000307
HC4,0.00000643,0.00000643,0.00000643,0.00000643
HC5,0.00000483,0.00000483,0.00000483,0.00000483
HC6,-0.00000625,-0.00000625,-0.00000625,-0.00000625
HC7,8.09E-013,8.09E-013,8.09E-013,8.09E-013
